ExperimentNumber,WorkloadNumber,RequestId,                   J,UserClass,              Policy,CloudDeploymentModel,CloudletId,            TaskType,CloudletLength,CloudletStatusString,SubmissionTime,ExecStartTime,FinalExecTime,FinishTime,InstanceVmId,              VmType
               1,             1,        5,            J={10-2},   SILVER,              FIXVms,              Public,        13,                 Map,         10000,              InExec,     200000.10,    200000.10,   -200001.10,     -1.00,           2, large-aws-us-east-1
               1,             1,        5,            J={10-2},   SILVER,              FIXVms,              Public,        14,                 Map,          5000,              InExec,     200000.10,    200000.10,   -200001.10,     -1.00,           3, large-aws-us-east-1
               1,             1,        5,            J={10-2},   SILVER,              FIXVms,              Public,        17,                 Map,         10000,              InExec,     200000.10,    200000.10,   -200001.10,     -1.00,           4, large-aws-us-east-1
               1,             1,        5,            J={10-2},   SILVER,              FIXVms,              Public,        18,                 Map,         10000,              InExec,     200000.10,    200000.10,   -200001.10,     -1.00,           5, large-aws-us-east-1
               1,             1,        5,            J={10-2},   SILVER,              FIXVms,              Public,        19,                 Map,         10000,              InExec,     200000.10,    200000.10,   -200001.10,     -1.00,           6, large-aws-us-east-1
               1,             1,        5,            J={10-2},   SILVER,              FIXVms,              Public,        20,                 Map,         10000,              InExec,     200000.10,    200000.10,   -200001.10,     -1.00,           7, large-aws-us-east-1
               1,             1,        5,            J={10-2},   SILVER,              FIXVms,              Public,        21,                 Map,          5000,              InExec,     200000.10,    200000.10,   -200001.10,     -1.00,           8, large-aws-us-east-1
               1,             1,        5,            J={10-2},   SILVER,              FIXVms,              Public,        22,                 Map,          5000,              InExec,     200000.10,    200000.10,   -200001.10,     -1.00,           9, large-aws-us-east-1
               1,             1,        5,            J={10-2},   SILVER,              FIXVms,              Public,        23,                 Map,          5000,              InExec,     200000.10,    200000.10,   -200001.10,     -1.00,           2, large-aws-us-east-1
               1,             1,        5,            J={10-2},   SILVER,              FIXVms,              Public,        24,                 Map,          5000,              InExec,     200000.10,    200000.10,   -200001.10,     -1.00,           3, large-aws-us-east-1
               1,             1,        5,            J={10-2},   SILVER,              FIXVms,              Public,        15,              Reduce,          5000,             Created,          0.00,         0.00,        -1.00,     -1.00,          -1,            ERR null
               1,             1,        5,            J={10-2},   SILVER,              FIXVms,              Public,        16,              Reduce,          1000,             Created,          0.00,         0.00,        -1.00,     -1.00,          -1,            ERR null
